Source	Tag	Name	SR_LOCATION	Date
311	pothole		"8611 AIRPORT, HOUSTON TX 77061"	3/13/13
311	pothole		"301 SYDNOR, HOUSTON TX 77020"	1/31/13
311	pothole		"11901 HIGHLAND, UNINCORPORATED TX 77089"	2/6/13
311	pothole		"1250 N ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"11920 ASTORIA, HOUSTON TX 77089"	2/5/13
311	pothole		"1575 ELDRIDGE, HOUSTON TX 77077"	1/29/13
311	pothole		"1107 ENCLAVE E, HOUSTON TX 77077"	2/12/13
311	pothole		"9400 HIGHWAY 6 S, HOUSTON TX 77498"	1/29/13
311	pothole		"1250 N ELDRIDGE, HOUSTON TX 77077"	1/29/13
311	pothole		"1502 LAKESIDE ENCLAVE, HOUSTON TX 77077"	2/18/13
311	pothole		"1396 ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"1545 ELDRIDGE, HOUSTON TX 77077"	1/29/13
311	pothole		"2027 ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"103 MALONE, HOUSTON TX 77007"	1/28/13
311	pothole		"8338 FANNIN, HOUSTON TX 77054"	4/2/13
311	pothole		"1485 ENCLAVE, HOUSTON TX 77077"	2/8/13
311	pothole		"2520 ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"8634 MORLEY, HOUSTON TX 77061"	1/4/13
311	pothole		"7055 TELEPHONE, HOUSTON TX 77061"	1/31/13
311	pothole		"1390 ENCLAVE PKW, HOUSTON TX 77077"	2/5/13
311	pothole		"1150 ELDRIDGE, HOUSTON TX 77077"	2/18/13
311	pothole		"810 KENRICK, UNINCORPORATED TX 77032"	1/29/13
311	pothole		"8850 MONROE, HOUSTON TX 77061"	2/3/13
311	pothole		"757 N ELDRIDGE, HOUSTON TX 77079"	2/12/13
311	pothole		"2250 BERING, HOUSTON TX 77057"	2/13/13
311	pothole		"2118 FORELAND, HOUSTON TX 77077"	1/30/13
311	pothole		"7313 BROMPTON, HOUSTON TX 77025"	2/24/13
311	pothole		"1250 ELDRIDGE, HOUSTON TX 77077"	1/31/13
311	pothole		"1392 ENCLAVE, HOUSTON TX 77077"	2/12/13
311	pothole		"3110 HILLCROFT, HOUSTON TX 77057"	2/13/13
311	pothole		"1545 ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"6517 AVENUE F, HOUSTON TX 77011"	3/13/13
311	pothole		"6977 MAIN, HOUSTON TX 77030"	1/17/13
311	pothole		"1390 ENCLAVE PKW, HOUSTON TX 77077"	2/12/13
311	pothole		"2247 SOUTH, HOUSTON TX 77005"	2/2/13
311	pothole		"1527 ASHBURY PARK, HOUSTON TX 77077"	1/30/13
311	pothole		"3033 CLINTON, HOUSTON TX 77020"	1/31/13
311	pothole		"1127 ELDRIDGE, HOUSTON TX 77077"	1/29/13
311	pothole		"2411 ELDRIDGE S, HOUSTON TX 77077"	1/30/13
311	pothole		"1107 ENCLAVE E, HOUSTON TX 77077"	1/30/13
311	pothole		"5220 WESLAYAN, HOUSTON TX 77005"	2/11/13
311	pothole		"8611 AIRPORT, HOUSTON TX 77061"	1/4/13
311	pothole		"1255 ELDRIDGE, HOUSTON TX 77077"	1/30/13
311	pothole		"8320 GULF FWY, HOUSTON TX 77061"	2/6/13
311	pothole		"1485 ENCLAVE, HOUSTON TX 77077"	2/12/13
311	pothole		"1392 ENCLAVE, HOUSTON TX 77077"	2/12/13
311	pothole		"1302 BLALOCK, HOUSTON TX 77055"	1/30/13
311	pothole		"1401 HYDE PARK, HOUSTON TX 77006"	2/2/13
311	pothole		"8308 GULF FWY, HOUSTON TX 77061"	2/6/13
311	pothole		"1111 ELDRIDGE, HOUSTON TX 77077"	2/18/13
311	pothole		"559 N ELDRIDGE, HOUSTON TX 77079"	2/18/13
311	pothole		"1851 CROSSPOINT, HOUSTON TX 77054"	1/3/13
311	pothole		"2802 FRANCIS, HOUSTON TX 77004"	3/13/13
311	pothole		Intersection 2500 EVERGREEN DR&7140 WOODRIDGE DR	1/4/13
311	pothole		Intersection 4400 KINGWOOD DR&3000 W LAKE HOUSTON PKWY	3/8/13
311	pothole		Intersection 700 SAKOWITZ ST&5750 WALLISVILLE RD	3/6/13
311	pothole		Intersection 700 SAKOWITZ ST&5750 WALLISVILLE RD	3/6/13
Valet	Valet	2416 BRAZOS LLC	2400 BAGBY	
Valet	Valet	3201 LOUISIANA LP	700 STUART (NORTHSIDE)	
Valet	Valet	BACKSTREET CAFE	1100 S. SHEPHERD SOUTH SIDE	
Valet	Valet	BATANGA	900 CONGRESS	
Valet	Valet	BRENNAN'S	500 STUART	
